Country,Province,City,Job_Title,Low_Salary_Yearly,Median_Salary_Yearly,Max_Salary_Yearly,Currency,Year,Cost_of_Living_Yearly
Canada,AB,Athabasca--Grande Prairie--Peace River,Legislators,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Senior government managers and officials,39900,52450,75000,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Senior managers - financial, communications and other business services",19230,53850,83790,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Senior managers - health, education, social and community services and membership organizations",0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Senior managers - trade, broadcasting and other services, n.e.c.",0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Senior managers - construction, transportation, production and utilities",35000,58170,96150,CAD,2015-2016,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Financial managers,27000,52880,84130,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Human resources managers,28850,47360,72120,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Purchasing managers,38250,40490,68680,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Other administrative services managers,26000,50430,76150,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Insurance, real estate and financial brokerage managers",32310,53420,81730,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Banking, credit and other investment managers",23480,41030,66670,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,"Advertising, marketing and public relations managers",17000,49020,108170,CAD,2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Other business services managers,0,0,0,CAD,NA,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Telecommunication carriers managers,24230,48080,66970,CAD,2016-2017,28000
Canada,AB,Athabasca--Grande Prairie--Peace River,Postal and courier services managers,0,0,0,CAD,NA,28000
